1334,979,11.892
1375,972,11.908
1413,966,11.925
1451,958,11.942
1487,951,11.959
1521,943,11.975
1554,935,11.992
1585,927,12.008
1613,920,12.025
1640,913,12.042
1665,905,12.058
1688,899,12.075
1708,892,12.092
1727,887,12.108
1743,883,12.125
1757,878,12.142
1768,874,12.158
1777,871,12.175
1784,869,12.192
1788,868,12.208
1791,868,12.225
1790,868,12.242
1788,869,12.258
1783,871,12.275
1775,873,12.292
1765,877,12.308
1753,881,12.325
1739,887,12.342
1722,893,12.358
1704,899,12.375
1683,905,12.391
1660,911,12.408
1634,918,12.425
1607,925,12.442
1578,933,12.458
1547,941,12.475
1514,949,12.491
1480,956,12.508
1443,964,12.525
1405,972,12.541
1366,979,12.558
1326,986,12.575
1285,991,12.591
1242,996,12.608
1198,1000,12.625
1154,1005,12.641
1108,1010,12.658
1063,1012,12.675
1017,1014,12.691
970,1015,12.708
923,1015,12.725
878,1015,12.741
831,1014,12.758
785,1012,12.775
740,1011,12.791
696,1008,12.808
651,1003,12.825
608,998,12.841
566,994,12.858
526,989,12.875
487,981,12.891
448,975,12.908
412,968,12.924
377,962,12.941
343,954,12.958
312,947,12.975
283,939,12.991
255,932,13.008
229,925,13.024
206,918,13.041
184,912,13.058
164,906,13.074
147,900,13.091
132,896,13.108
119,892,13.124
108,889,13.141
99,885,13.158
93,883,13.174
89,882,13.191
88,880,13.208
88,880,13.224
91,880,13.241
95,881,13.258
103,884,13.274
112,888,13.291
123,891,13.308
136,895,13.324
152,899,13.341
170,905,13.358
190,910,13.374
212,916,13.391
236,922,13.407
261,929,13.424
289,936,13.441
318,943,13.458
350,950,13.474
383,957,13.491
417,964,13.507
453,971,13.524
490,976,13.541
529,983,13.557
569,988,13.574
610,993,13.591
653,997,13.607
696,1001,13.624
739,1004,13.641
784,1007,13.657
829,1009,13.674
875,1010,13.691
920,1009,13.707
966,1009,13.724
1012,1009,13.741
1057,1006,13.757
1103,1003,13.774
1147,999,13.791
1191,995,13.807
1235,990,13.824
1278,985,13.841
1319,979,13.857
1360,973,13.874
1398,966,13.891
1436,958,13.907
1473,951,13.924
1507,944,13.94
1540,936,13.957
1571,928,13.974
1601,921,13.99
1628,914,14.007
1654,906,14.024
1677,900,14.04
1698,894,14.057
1717,887,14.074
1734,883,14.09
1748,879,14.107
1760,875,14.124
1771,872,14.14
1778,869,14.157
1783,868,14.174
1786,867,14.19
1786,867,14.207
1785,868,14.224
1780,869,14.24
1773,872,14.257
1765,875,14.274
1753,879,14.29
1740,883,14.307
1724,888,14.324
1706,894,14.34
1685,899,14.357
1663,906,14.374
1639,914,14.39
1612,920,14.407
1584,928,14.423
1553,936,14.44
1521,943,14.457
1487,951,14.474
1451,959,14.49
1414,966,14.507
1376,972,14.523
1336,979,14.54
1295,985,14.557
1253,991,14.573
1210,996,14.59
1166,1001,14.607
1121,1005,14.623
1076,1008,14.64
1030,1010,14.657
984,1011,14.673
938,1012,14.69
892,1012,14.707
846,1012,14.723
800,1011,14.74
755,1008,14.757
711,1005,14.773
667,1001,14.79
624,996,14.807
582,992,14.823
542,986,14.84
502,981,14.857
463,974,14.873
426,969,14.89
391,960,14.907
358,954,14.923
327,946,14.94
297,938,14.956
268,931,14.973
242,926,14.99
218,920,15.006
196,912,15.023
176,906,15.04
158,900,15.056
142,895,15.073
129,891,15.09
117,887,15.106
108,884,15.123
101,882,15.14
97,879,15.156
95,878,15.173
94,878,15.19
96,878,15.206
100,880,15.223
106,883,15.24
115,884,15.256
125,888,15.273
138,893,15.29
153,896,15.306
170,902,15.323
189,908,15.34
210,913,15.356
234,919,15.373
258,926,15.389
285,932,15.406
314,939,15.423
344,946,15.439
377,953,15.456
410,959,15.473
445,966,15.489
482,972,15.506
520,979,15.523
560,984,15.539
600,989,15.556
642,994,15.573
685,997,15.589
727,1001,15.606
771,1004,15.623
816,1006,15.639
861,1008,15.656
906,1008,15.673
952,1007,15.689
998,1007,15.706
1043,1005,15.723
1088,1003,15.739
1132,999,15.756
1177,996,15.773
1220,990,15.789
1263,986,15.806
1305,980,15.823
1345,974,15.839
1384,967,15.856
1422,960,15.872
1459,953,15.889
1494,945,15.906
1527,938,15.922
1559,930,15.939
1589,923,15.956
1617,915,15.972
1643,908,15.989
1667,902,16.006
1688,895,16.022
1708,889,16.039
1725,884,16.056
1740,880,16.072
1753,876,16.089
1764,872,16.106
1772,870,16.122
1778,868,16.139
1781,867,16.156
1782,866,16.172
1781,867,16.189
1778,869,16.206
1772,870,16.222
1763,873,16.239
1753,878,16.255
1740,881,16.272
1725,886,16.289
1708,891,16.306
1688,897,16.322
1666,904,16.339
1643,911,16.355
1617,918,16.372
1589,925,16.389
1559,933,16.405
1528,941,16.422
1495,948,16.439
1460,956,16.455
1423,963,16.472
1385,970,16.489
1346,977,16.505
1306,983,16.522
1264,989,16.539
1221,994,16.555
1178,998,16.572
1134,1003,16.589
1089,1006,16.605
1044,1008,16.622
998,1011,16.639
952,1011,16.655
906,1011,16.672
861,1011,16.689
816,1010,16.705
770,1008,16.722
726,1005,16.739
683,1001,16.755
639,997,16.772
597,992,16.788
557,987,16.805
517,981,16.822
479,975,16.839
442,969,16.855
407,962,16.872
373,954,16.888
341,948,16.905
310,941,16.922
283,933,16.938
256,926,16.955
231,920,16.972
209,914,16.988
188,907,17.005
170,901,17.022
154,896,17.038
140,892,17.055
127,888,17.072
118,885,17.088
110,883,17.105
105,880,17.122
102,879,17.138
101,878,17.155
102,878,17.172
106,880,17.188
111,881,17.205
119,884,17.222
129,887,17.238
141,891,17.255
155,895,17.272
171,899,17.288
189,905,17.305
210,911,17.322
232,917,17.338
256,923,17.355
282,931,17.371
310,938,17.388
340,945,17.405
371,951,17.421
404,957,17.438
438,964,17.455
475,971,17.471
512,977,17.488
551,982,17.505
591,988,17.521
632,992,17.538
674,996,17.555
716,1000,17.571
760,1003,17.588
804,1005,17.605
849,1006,17.621
894,1007,17.638
